0,1,2
"Yes. Although you can provide first aid for a dog bite at home, it's important to see a doctor, especially if an unfamiliar dog bit you, the bite is deep, you can't stop the bleeding, or there are any signs of infection (redness, swelling, warmth, pus). Dog bites can cause infections that need to be treated with antibiotics.",Should you see a doctor for a dog bite?,Dogs
"Tapeworms, roundworms, hookworms, and whipworms are common internal parasites in dogs. And although any worm infestation can make your pooch uncomfortable, some, like hookworms, can be fatal in puppies. Signs your dog may have worms include:",What are the signs of worms in dogs?,Dogs
"The best way to diagnose a worm problem is with a visit to the vet. Treatment depends on which type of worm your dog has, but generally includes an oral medication and may require follow-up. Don't try treating worms yourself: A medication that kills roundworms, for example, doesn't kill tapeworms.",What is the best way to diagnose a worm problem in dogs?,Dogs
"Stay calm. If your dog is near something that could hurt it, like a piece of furniture or the stairs, gently slide your dog away. Avoid dog’s mouth and head; it could bite you. Don’t put anything in its mouth. If you can, time the seizure. If it lasts for more than a few minutes, your dog is at risk of overheating. Turn a fan on your dog and put cold water on its paws to cool it down. Talk to your dog softly. Call your vet when the seizure ends. If your dog has a seizure that lasts more than 5 minutes or if it has several in a row while unconscious, take it to a vet ASAP.",What should I do if my dog has a seizure?,Dogs
"The most common kind is the generalized seizure, also called a grand mal seizure. A dog can lose consciousness and convulse. The abnormal electrical activity happens throughout the brain. Generalized seizures usually last from a few seconds to a few minutes. With a focal seizure, abnormal electrical activity happens in only part of the brain. Focal seizures can cause unusual movements in one limb or one side of the body. Sometimes they last only a couple of seconds. They may start as focal and then become generalized. A psychomotor seizure involves strange behavior that only lasts a couple of minutes. Your dog may suddenly start attacking an imaginary object or chasing its tail. It can be tricky to tell psychomotor seizures from odd behavior, but a dog that has them will always do the same thing every time it has a seizure. Seizures from unknown causes are called idiopathic epilepsy. They usually happen in dogs between 6 months and 6 years old. Although any dog can have a seizure, idiopathic epilepsy is more common in border collies, Australian shepherds, Labrador retrievers, beagles, Belgian Tervurens, collies, and German shepherds.",What are the types of seizures in dogs?,Dogs
"It’s rare, but roundworms can cause problems in people. If you have contact with dog poop or soil that’s contaminated, you may get an infection. That can lead to eye, lung, heart, and neurological problems.",Can humans get roundworms?,Dogs
"It can cause serious harm to your ear. It’s also risky to hold a lit candle close to your face. The flame or the melted wax could burn you. Candle wax may even drip into your ear canal, clog the passage, and make you lose your hearing for a while. There are also reports of punctured eardrums after the candling process.",Is ear candling safe?,Ear Infection
"A myringotomy is a procedure in which your doctor creates a small hole in the eardrum so fluids such as water, blood, or pus can drain out. In many cases, your doctor will put in a tube so it won't get backed up again.",What is a myringotomy?,Ear Infection
"Ear infections can lead to more serious complications, including mastoiditis (a rare inflammation of a bone adjacent to the ear), hearing loss, perforation of the eardrum, meningitis, facial nerve paralysis, and possibly -- in adults -- Meniere's disease.",What happens if an ear infection is left untreated?,Ear Infection
"Your child can still get ear infections with tubes, but usually not as many. The infections also won't cause hearing loss and tend to go away on their own or with antibiotic eardrops.",Can my child still get ear infections with ear tubes?,Ear Infection
"If you have hay fever or a pollen allergy, your ears may itch when you eat certain fruits, vegetables, or tree nuts. Known as oral allergy syndrome, you may notice this most during allergy season. The prickly feeling in your ears should stop as soon as you swallow the food or take it out of your mouth. In most cases, you don’t need treatment. Still, speak to your doctor. They may test you to see how severe your allergy is. People with extreme food allergies may need to carry an epinephrine auto-injector.",How can food allergies cause itchy ears?,Ear Infection
"Your doctor may check for blockage of your middle ear using an instrument that blows a little air at your eardrum while they look closely at it. This air should cause it to move back and forth a bit. If fluid is there, your eardrum won't move as much. They might also look for signs of infection with another instrument that uses sound and air pressure to check for fluid in your middle ear.",How does a doctor check for fluid or blockage in the ear?,Ear Infection
